COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,e_e000738,8,2,4,1
1,e_e000743,8,2,4,3
2,e_e000745,2,1,1,1
1,e_e000745,1,1,4,1
1,e_e000746,8,2,4,1
4,e_e000747,10,2,4,3
6,e_e000747,10,1,1,3
1,e_e000747,1,1,5,1
3,e_e000747,10,1,5,3
5,e_e000747,10,1,1,3
2,e_e000747,2,2,1,1
1,e_e000748,1,1,4,1
2,e_e000751,2,1,1,1
1,e_e000751,1,2,3,1
1,e_e000760,1,2,4,1
3,e_e000760,2,2,1,1
2,e_e000760,2,2,1,1
1,e_e000761,1,2,5,1
2,e_e000761,2,1,1,1
1,e_e000765,2,1,1,1
2,e_e000765,2,1,1,1
1,e_e000771,1,1,4,1
2,e_e000771,2,2,1,1
1,e_e000774,1,1,4,1
3,e_e000774,7,2,4,3
5,e_e000774,11,1,1,3
2,e_e000774,2,2,1,1
4,e_e000774,7,1,4,3
6,e_e000774,11,2,1,3
2,e_e000782,7,2,5,3
1,e_e000782,7,2,5,3
2,e_e000785,3,2,6,1
4,e_e000785,5,1,2,3
1,e_e000785,3,1,6,1
3,e_e000785,5,2,3,1
2,e_e000787,7,1,3,1
4,e_e000787,7,2,3,1
1,e_e000787,7,1,3,1
3,e_e000787,7,2,3,1
2,e_e000789,2,1,2,1
1,e_e000789,1,1,5,1
3,e_e000789,2,1,1,1
1,e_e000791,8,1,3,1
1,e_e000793,2,2,5,1
2,e_e000803,2,1,1,1
1,e_e000803,1,2,4,1
3,e_e000803,2,1,1,1
1,e_e000804,1,1,5,1
2,e_e000805,2,1,1,1
1,e_e000805,1,1,4,1
2,e_e000807,7,2,3,1
1,e_e000807,7,2,3,1
1,e_e000811,1,1,5,3
3,e_e000811,2,1,2,3
2,e_e000811,3,2,8,3
4,e_e000811,2,1,2,1
1,e_e000812,1,1,5,1
3,e_e000812,2,1,1,1
2,e_e000812,2,1,1,1
2,e_e000817,2,2,1,1
1,e_e000817,1,1,5,1
1,e_e000818,8,1,4,3
2,e_e000826,2,2,1,1
1,e_e000826,1,1,5,1
1,e_e000828,1,1,6,1
1,e_e000830,1,1,5,1
2,e_e000830,2,1,1,1
1,e_e000831,1,1,5,1
3,e_e000831,2,1,1,1
2,e_e000831,2,2,2,1
2,e_e000838,2,1,1,1
1,e_e000838,1,2,4,1
3,e_e000838,2,2,1,1
1,e_e000840,1,1,4,1
3,e_e000840,2,2,1,1
2,e_e000840,2,1,1,1
1,e_e000841,3,2,6,1
2,e_e000841,5,1,3,1
2,e_e000844,2,1,1,1
1,e_e000844,1,1,5,1
1,e_e000849,7,2,3,3
1,e_e000852,8,1,4,1
1,e_e000854,1,1,5,1
3,e_e000854,2,2,2,1
2,e_e000854,2,1,2,1
4,e_e000854,2,2,2,1
1,e_e000856,5,2,3,1
1,e_e000861,2,2,1,1
1,e_e000863,3,2,6,1
3,e_e000872,11,2,2,1
2,e_e000872,7,1,5,1
4,e_e000872,11,1,2,1
1,e_e000872,2,2,2,1
1,e_e000877,1,1,5,1
3,e_e000877,7,1,5,1
5,e_e000877,2,1,1,1
2,e_e000877,2,2,1,1
4,e_e000877,7,2,5,1
1,e_e000889,8,2,4,1
1,e_e000902,8,2,4,1
2,e_e000917,2,1,1,1
1,e_e000917,1,1,5,1
3,e_e000917,2,2,1,1
1,e_e000919,7,1,4,2
3,e_e000919,7,1,4,2
2,e_e000919,7,1,4,2
1,e_e000930,7,2,3,2
2,e_e000932,5,2,3,1
1,e_e000932,3,2,6,1
2,e_e000935,1,2,5,1
4,e_e000935,2,2,1,1
1,e_e000935,3,2,7,2
3,e_e000935,2,1,1,1
1,e_e000936,7,2,3,1
1,e_e000938,1,1,5,1
3,e_e000938,2,2,1,1
2,e_e000938,2,1,2,1
1,e_e000942,8,2,4,1
1,e_e000947,3,2,7,1
1,e_e000949,1,1,5,1
2,e_e000949,2,1,1,1
1,e_e000950,3,2,8,3
3,e_e000950,2,2,3,1
5,e_e000950,2,2,3,1
7,e_e000950,6,2,5,3
9,e_e000950,6,2,2,3
2,e_e000950,1,1,6,1
4,e_e000950,2,2,3,1
6,e_e000950,6,1,6,3
8,e_e000950,6,1,2,3
2,e_e000955,7,2,4,1
1,e_e000955,7,2,4,1
3,e_e000955,7,2,4,1
2,e_e000959,2,2,2,1
1,e_e000959,2,2,2,1
3,e_e000959,5,2,5,1
1,e_e000961,3,2,7,3
3,e_e000961,2,2,2,1
2,e_e000961,1,2,4,1
2,e_e000962,2,2,2,1
1,e_e000962,1,1,4,1
1,e_e000966,1,2,5,1
3,e_e000966,6,1,8,1
2,e_e000966,3,2,8,1
4,e_e000966,5,2,6,1
1,e_e000967,3,1,7,3
3,e_e000967,5,1,3,3
2,e_e000967,5,2,4,1
2,e_e000973,7,1,6,1
1,e_e000973,1,2,6,1
3,e_e000973,7,2,6,1
1,e_e000984,1,1,4,1
1,e_e000987,7,1,3,1
1,e_e000992,2,1,2,1
1,e_e000993,8,1,3,3
2,e_e000994,7,1,3,1
1,e_e000994,7,2,3,1
1,e_e000995,2,1,1,1
1,e_e000997,1,1,5,1
2,e_e000997,2,1,2,1
1,e_e000998,1,1,5,1
2,e_e000998,2,2,1,1
1,e_e000999,2,2,5,1
3,e_e000999,11,1,2,2
2,e_e000999,2,1,5,1
1,e_e001001,8,2,4,1
1,e_e001009,5,2,4,1
1,e_e001012,7,2,3,1
1,e_e001014,8,1,3,1
1,e_e001022,3,2,6,1
2,e_e001023,7,2,3,1
1,e_e001023,7,2,3,1
1,e_e001024,8,1,3,3
1,e_e001025,1,1,4,1
1,e_e001026,1,2,4,1
1,e_e001029,1,1,5,1
2,e_e001029,2,2,1,1
4,e_e001030,5,2,6,3
1,e_e001030,1,1,5,1
3,e_e001030,3,2,8,1
5,e_e001030,5,1,7,3
2,e_e001030,2,1,2,1
1,e_e001031,8,1,3,1
1,e_e001040,8,2,4,1
1,e_e001041,1,1,6,1
3,e_e001041,2,2,2,1
2,e_e001041,2,1,2,1
1,e_e001049,1,1,5,1
2,e_e001057,2,1,4,1
1,e_e001057,1,1,7,1
3,e_e001057,2,2,4,1
1,e_e001059,1,1,4,1
2,e_e001060,2,2,1,1
1,e_e001060,1,1,4,1
3,e_e001060,2,2,1,1
1,e_e001063,1,2,4,1
2,e_e001068,9,2,4,3
4,e_e001068,9,1,3,3
1,e_e001068,9,1,5,3
3,e_e001068,9,1,3,3
1,e_e001069,8,2,4,1
1,e_e001070,8,1,3,1
1,e_e001079,8,1,4,1
1,e_e001081,1,2,4,1
1,e_e001084,8,2,6,1
3,e_e001084,5,2,6,3
5,e_e001084,6,2,3,3
7,e_e001084,6,2,3,3
2,e_e001084,3,2,8,3
4,e_e001084,5,2,6,3
6,e_e001084,6,2,3,3
8,e_e001084,6,1,3,3
1,e_e001093,7,2,4,3
1,e_e001097,2,2,2,1
1,e_e001098,7,2,4,1
2,e_e001103,7,2,4,1
1,e_e001103,7,2,4,1
1,e_e001104,8,1,3,1
1,e_e001110,1,1,6,1
3,e_e001110,3,2,8,1
5,e_e001110,6,2,4,1
7,e_e001110,2,2,2,1
9,e_e001110,6,1,2,1
2,e_e001110,3,1,8,1
4,e_e001110,6,1,5,1
6,e_e001110,2,2,3,1
8,e_e001110,2,1,2,1
10,e_e001110,6,2,1,1
1,e_e001114,8,1,3,1
1,e_e001117,8,1,3,1
2,e_e001118,2,1,2,1
1,e_e001118,1,2,5,1
1,e_e001124,7,2,4,1
1,e_e001125,1,2,4,1
1,e_e001126,2,1,1,1
1,e_e001127,1,1,5,1
2,e_e001127,2,1,1,1
1,e_e001130,1,1,4,1
3,e_e001130,2,1,1,1
2,e_e001130,2,2,1,1
1,e_e001131,8,1,4,1
1,e_e001132,8,2,3,1
1,e_e001134,3,1,6,1
2,e_e001134,3,2,6,1
1,e_e001137,7,2,3,3
1,e_e001142,7,2,4,1
1,e_e001147,8,1,3,1
2,e_e001149,7,1,3,3
1,e_e001149,7,2,3,1
3,e_e001149,7,1,3,1
1,e_e001150,1,1,5,1
2,e_e001150,2,2,2,1
1,e_e001159,1,1,4,1
1,e_e001164,7,2,5,3
1,e_e001166,2,2,2,1
1,e_e001171,7,1,4,1
1,e_e001173,1,2,4,1
1,e_e001174,8,1,4,3
1,e_e001176,1,1,4,1
2,e_e001176,7,2,4,1
1,e_e001178,7,2,5,3
1,e_e001180,1,2,4,1
1,e_e001182,1,1,5,1
3,e_e001182,2,1,1,1
2,e_e001182,2,1,2,1
2,e_e001183,2,2,2,1
1,e_e001183,1,1,5,1
3,e_e001183,2,2,2,1
2,e_e001188,2,1,1,1
1,e_e001188,1,2,4,1
1,e_e001190,8,1,4,1
1,e_e001194,1,1,4,1
2,e_e001194,2,1,1,1
1,e_e001200,8,1,4,1
1,e_e001201,8,2,5,1
2,e_e001212,2,2,1,1
1,e_e001212,2,2,2,2
3,e_e001212,2,2,1,1
1,e_e001215,1,2,4,1
2,e_e001215,2,1,1,1
1,e_e001218,1,2,5,1
3,e_e001218,2,1,1,1
2,e_e001218,2,1,2,1
1,e_e001230,1,1,5,1
2,e_e001230,10,1,5,3
1,e_e001233,1,1,4,1
3,e_e001233,3,2,6,1
2,e_e001233,3,1,6,1
2,e_e001238,3,2,6,1
1,e_e001238,1,2,4,1
2,e_e001243,2,2,2,1
1,e_e001243,1,1,5,1
3,e_e001243,2,1,2,1
1,e_e001244,1,1,6,1
1,e_e001246,8,2,3,1
2,e_e001251,2,1,2,1
1,e_e001251,1,1,5,1
3,e_e001251,2,1,2,1
1,e_e001252,10,2,6,1
3,e_e001252,10,2,6,1
5,e_e001252,10,2,6,1
2,e_e001252,10,2,6,1
4,e_e001252,10,2,6,1
6,e_e001252,10,2,6,3
1,e_e001257,1,1,6,1
2,e_e001261,2,2,2,1
4,e_e001261,7,1,5,3
6,e_e001261,11,2,2,3
1,e_e001261,1,1,5,1
3,e_e001261,2,1,1,1
5,e_e001261,7,2,5,3
7,e_e001261,11,1,1,3
1,e_e001262,8,1,4,1
1,e_e001264,8,1,3,1
1,e_e001265,1,1,5,1
3,e_e001265,2,2,1,1
2,e_e001265,2,2,1,1
1,e_e001267,1,2,5,1
1,e_e001271,1,1,5,1
3,e_e001271,2,2,1,1
2,e_e001271,2,1,1,1
1,e_e001276,7,2,4,3
1,e_e001280,8,2,3,3
1,e_e001281,1,1,4,1
2,e_e001287,2,1,2,1
1,e_e001287,1,2,4,1
3,e_e001287,2,2,2,1
1,e_e001291,1,2,4,1
2,e_e001291,2,1,1,1
1,e_e001295,9,2,6,3
1,e_e001296,1,2,5,1
3,e_e001296,2,2,2,1
2,e_e001296,2,2,2,1
1,e_e001301,8,1,3,1
2,e_e001308,2,2,1,1
1,e_e001308,1,1,4,1
1,e_e001312,1,1,5,1
3,e_e001312,2,2,2,1
2,e_e001312,2,2,2,1
4,e_e001312,2,2,2,1
1,e_e001314,7,1,5,1
2,e_e001314,7,1,5,3
1,e_e001316,1,1,6,1
3,e_e001316,3,1,8,1
2,e_e001316,2,2,3,1
4,e_e001316,3,2,8,1
1,e_e001325,9,2,4,1
1,e_e001326,8,2,4,3
1,e_e001329,8,2,4,1
3,e_e001330,2,2,1,1
2,e_e001330,2,2,1,1
1,e_e001330,1,1,5,1
2,e_e001331,2,1,2,1
1,e_e001331,1,1,6,1
1,e_e001341,3,2,6,3
1,e_e001344,1,2,4,1
1,e_e001346,8,2,4,1
1,e_e001351,8,2,4,1
1,e_e001356,7,2,4,1
1,e_e001360,10,1,4,1
3,e_e001360,10,1,3,1
2,e_e001360,10,1,4,1
1,e_e001372,1,1,4,1
2,e_e001380,2,1,1,1
1,e_e001380,1,1,5,1
1,e_e001382,1,1,4,1
1,e_e001384,8,1,3,1
2,e_e001392,2,2,1,1
1,e_e001392,1,1,4,1
1,e_e001408,1,1,4,1
1,e_e001409,7,2,3,1
3,e_e001409,7,2,3,1
2,e_e001409,7,2,3,1
4,e_e001409,7,2,3,1
1,e_e001411,7,2,3,1
3,e_e001411,7,2,3,1
2,e_e001411,7,2,3,1
1,e_e001412,1,1,4,1
2,e_e001414,8,2,3,1
1,e_e001414,5,1,3,1
2,e_e001415,3,2,6,1
1,e_e001415,3,1,6,1
3,e_e001415,5,1,3,1
1,e_e001416,1,1,5,1
2,e_e001422,2,1,1,1
1,e_e001422,2,2,2,1
3,e_e001424,2,2,1,1
2,e_e001424,3,2,8,1
4,e_e001424,2,2,2,1
1,e_e001424,1,1,6,1
1,e_e001427,1,1,5,2
2,e_e001427,2,2,1,1
1,e_e001428,8,1,4,1
2,e_e001429,2,1,1,1
1,e_e001429,5,2,4,1
3,e_e001429,2,2,1,1
1,e_e001430,3,2,6,3
1,e_e001432,7,2,3,3
1,e_e001434,2,1,1,1
2,e_e001436,2,1,2,1
1,e_e001436,1,2,5,1
3,e_e001436,2,2,1,1
1,e_e001440,7,1,3,1
1,e_e001448,8,1,4,1
2,e_e001449,2,2,1,1
1,e_e001449,1,1,5,1
1,e_e001452,8,1,4,1
1,e_e001458,2,2,4,1
1,e_e001459,7,2,4,3
1,e_e001468,1,1,5,1
2,e_e001470,7,2,3,1
1,e_e001470,7,2,3,1
1,e_e001480,8,1,3,1
1,e_e001482,7,2,3,3
2,e_e001485,2,2,2,1
1,e_e001485,1,1,5,1
3,e_e001485,2,2,2,1
1,e_e001489,8,1,3,3
1,e_e001499,8,1,4,1
1,e_e001503,7,2,4,1
2,e_e001503,9,1,4,1
1,e_e001510,8,1,4,1
1,e_e001519,8,1,5,1
1,e_e001523,1,2,6,1
2,e_e001525,7,2,5,1
1,e_e001525,7,2,5,1
3,e_e001525,7,2,5,1
1,e_e001526,1,1,5,1
3,e_e001526,2,2,1,1
2,e_e001526,2,2,1,1
2,e_e001529,3,2,6,1
1,e_e001529,3,1,6,1
1,e_e001530,8,2,3,3
1,e_e001534,8,1,4,1
3,e_e001538,7,1,4,1
5,e_e001538,7,2,4,3
2,e_e001538,7,2,4,3
4,e_e001538,7,1,4,3
1,e_e001538,1,1,4,1
2,e_e001542,2,1,1,1
1,e_e001542,1,1,5,3
1,e_e001544,5,2,3,1
1,e_e001553,1,1,4,1
1,e_e001554,7,2,4,3
1,e_e001559,9,1,5,3
1,e_e001563,1,1,4,1
3,e_e001563,2,2,1,1
2,e_e001563,2,1,1,1
1,e_e001564,1,2,5,1
1,e_e001565,7,2,3,3
1,e_e001571,8,1,4,1
1,e_e001576,1,1,5,3
2,e_e001576,2,2,2,1
1,e_e001888,1,2,4,1
3,e_e001888,2,2,1,1
2,e_e001888,2,2,1,1
1,e_e001890,8,2,3,1
1,e_e001891,1,1,4,1
2,e_e001891,2,2,1,1
2,e_e001892,2,2,1,1
1,e_e001892,1,2,4,1
1,e_e001899,8,1,4,1
2,e_e001900,2,2,4,1
1,e_e001900,7,2,7,1
2,e_e001905,2,2,1,1
1,e_e001905,1,1,4,1
2,e_e001911,2,1,2,1
1,e_e001911,1,1,5,1
3,e_e001911,2,2,2,1
1,e_e001913,8,1,3,1
1,e_e001914,8,1,4,1
1,e_e001916,1,1,5,1
2,e_e001916,2,1,1,1
1,e_e001926,7,2,3,1
1,e_e001935,8,2,3,1
1,e_e001936,8,1,4,1
2,e_e001937,7,2,4,1
1,e_e001937,2,1,1,1
1,e_e001940,8,1,4,3
1,e_e001944,5,2,6,3
1,e_e001949,8,1,3,1
2,e_e001950,3,2,6,1
1,e_e001950,3,1,6,1
2,e_e001955,2,2,1,1
1,e_e001955,1,1,5,1
3,e_e001955,2,2,1,1
1,e_e001972,8,2,3,1
1,e_e001976,7,1,4,1
1,e_e001982,10,2,4,1
2,e_e001982,10,2,5,1
2,e_e001987,10,2,4,1
4,e_e001987,10,1,3,2
1,e_e001987,10,2,4,1
3,e_e001987,10,1,4,1
1,e_e001989,8,1,3,3
1,e_e001996,9,1,4,1
3,e_e001996,9,2,4,1
2,e_e001996,9,1,5,1
4,e_e001996,9,2,5,1
19,e_e001997,9,1,3,2
4,e_e001997,7,2,3,2
6,e_e001997,9,2,3,2
8,e_e001997,9,2,3,2
10,e_e001997,9,2,3,2
12,e_e001997,9,2,3,2
14,e_e001997,9,2,3,2
16,e_e001997,9,2,3,2
1,e_e001997,7,2,3,2
18,e_e001997,9,2,3,2
3,e_e001997,7,2,3,2
20,e_e001997,9,1,7,2
5,e_e001997,7,2,3,2
7,e_e001997,9,2,3,2
9,e_e001997,9,2,3,2
11,e_e001997,9,2,3,2
13,e_e001997,9,2,3,2
15,e_e001997,9,2,3,2
17,e_e001997,9,2,3,2
2,e_e001997,7,2,3,2
1,e_e002014,7,2,4,1
1,e_e002018,1,1,4,1
2,e_e002025,2,2,3,3
1,e_e002025,1,2,6,1
1,e_e002035,3,1,8,1
2,e_e002035,3,2,8,1
2,e_e002036,2,1,2,1
1,e_e002036,1,1,5,1
1,e_e002045,8,1,4,1
1,e_e002049,8,2,3,1
2,e_e002058,7,2,7,1
4,e_e002058,7,2,7,1
1,e_e002058,7,2,7,1
3,e_e002058,7,2,7,1
5,e_e002058,7,2,7,1
1,e_e002059,1,2,5,1
3,e_e002059,2,2,2,1
2,e_e002059,2,1,2,1
1,e_e002064,8,2,3,3
1,e_e002066,8,1,3,1
1,e_e002069,8,1,4,3
2,e_e002077,2,2,3,1
1,e_e002077,2,2,3,1
3,e_e002077,3,2,8,1
1,e_e002079,8,2,4,1
1,e_e002081,1,1,4,1
1,e_e002082,8,1,3,1
1,e_e002084,8,1,3,1
1,e_e002089,7,2,4,1
2,e_e002089,7,2,4,1
1,e_e002092,7,2,3,3
1,e_e002097,7,2,3,1
1,e_e002099,8,1,3,1
1,e_e002106,3,2,7,1
1,e_e002108,1,2,4,1
1,e_e002110,1,1,4,1
2,e_e002126,7,1,4,3
