TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
g_g000619,간식,2,4,3890900963.0,파리바게뜨,경기 평택시 이충로 92,경기 평택시 서정동 1108-1,3188076.0,4122010100.0,2023-06-03 09:18,1,15200,NEW추억의소시지빵;초코 왕소라빵 플러스;소보루완두앙금빵;밤소보루맘모스(1/2),
g_g000628,상추; 쌈장; 삼겹살; 두부; 김치; 숯; 소고기; 상추,0,1,,이마트,해안로 25,,,,,3,121000,,4418010600.0
g_g000629,다누리아쿠아리움 고수동굴 패키지,1,4,5248601528.0,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021.0,4113510300.0,2023-05-25 00:00,1,57600,고수동굴+다누리아쿠아리움 패키지 외 3건,
g_g000638,캠핑용품,0,1,,다이소 중문점,2081-1,,,,,1,40000,,5013011900.0
g_g000658,과일 빵 등 먹거리,1,3,2068650913.0,이마트,경기 고양시 덕양구 백양로 79,경기 고양시 덕양구 화정동 976,3192027.0,4128112300.0,2023-05-19 16:54,1,23620,밀양 햇 감자;L&L모듈러;칠성사이다;(A)파머스픽 새송이;애호박,
g_g000658,과일 빵 등 먹거리,2,3,1288552443.0,롯데쇼핑(주)롯데마트,경기 고양시 덕양구 충장로 150,경기 고양시 덕양구 행신동 941,3192095.0,4128112800.0,2023-05-19 17:43,1,12620,맥스웰하우스 마스터 블랙; 행사빵류; 해태 강원평창수,
g_g000672,어린이튜브2개 어린이비치모자2개 파라솔 유아래시가드 이유식 식재료 간식,0,4,,남대문시장,,,,,,3,320000,,1114011200.0
g_g000688,물,0,1,,블랙보리,cu그랜드점,,,,,1,1500,,2915510800.0
g_g000696,보조배터리,1,1,1168119948.0,한국정보통신(주),서울 중구 세종대로 39,,2005001.0,1114011700.0,2023-05-11 08:34,1,17480,,
g_g000701,이삭토스트,1,1,1078657147.0,스토리웨이,광주 북구 독립로367번길 69,광주 북구 중흥동 694-4,4286130.0,2917010100.0,2023-05-27 10:58,1,7200,모짜올리구마;(ICE)아메리카노,
g_g000717,커피,1,4,2018121515.0,스타벅스,전남 여수시 신월로 567,,3282045.0,4613011800.0,2023-05-23 12:58,3,16900,T)DCF돌체라떼; I-G)아메리카노; I-T)아메리카노,
g_g000726,고속버스요금,2,1,1048183559.0,티머니,서울 중구 후암로 110,서울 중구 남대문로5가 581,3101024.0,1114011800.0,2023-06-06 18:03,1,15800,버스표,
g_g000732,갯벌체험용 갈고리 등,0,3,,세원비닐(인터넷구매),성산로666-5 에스몰(인터넷구매입니다),,,,,3,21500,,4783033000.0
g_g000734,간단한 간식거리,1,5,5937600171.0,CU,전북 익산시 무왕로 1620,전북 익산시 덕기동 681-12,3016011.0,4514012800.0,2023-05-27 09:05,1,9200,쫄병짜파게티맛; 주)리챔마요김치볶음2; 주)2XL 베이컨참치2; 백종원 2XL치즈제육2; 동아)박카스F,
g_g000735,일정중 구매,1,3,3118207025.0,당진농협하나로마트,충남 당진시 동부1로 15,충남 당진시 대덕동 376-1,3265146.0,4427010700.0,2023-06-05 17:37,1,76760,돌미역;옛날미역;오리온 최고스낵4묶음;엔요플레인;해표더고소한파래김,
g_g000769,바베큐 재료,1,3,2068650913.0,이마트,경기 광명시 소하로 97,경기 광명시 소하동 1339-3,3187036.0,4121010400.0,2023-06-03 18:09,1,22670,마켓오 오징어톡;감자톡허브솔트;반반상추;비비고 썰은김치;삼립 옥수수 꿀호떡 요요,
