,userID,itemID,SIDO
2676,e006491,힐링파크쑥섬쑥섬,전남
2677,e006492,미인폭포,강원
2678,e006492,민우당 서림,강원
2679,e006495,미유 애월점,제주특별자치도
2680,e006495,민오름,제주특별자치도
2681,e006497,미인폭포,강원
2682,e006497,민우당 서림,강원
2683,e006505,힐링파크쑥섬쑥섬,전남
2684,e006506,힐링파크쑥섬쑥섬,전남
2685,e006507,미유 애월점,제주특별자치도
2686,e006507,민오름,제주특별자치도
2687,e006510,미유 애월점,제주특별자치도
2688,e006510,민오름,제주특별자치도
2689,e006513,미유 애월점,제주특별자치도
2690,e006513,민오름,제주특별자치도
2691,e006517,민락수변공원,부산
2692,e006517,민락 회 타운 시장,부산
2693,e006528,밀리오레,서울
2694,e006529,미유 애월점,제주특별자치도
2695,e006529,민오름,제주특별자치도
2696,e006534,힐링파크쑥섬쑥섬,전남
2697,e006544,미유 애월점,제주특별자치도
2698,e006544,민오름,제주특별자치도
2699,e006546,미유 애월점,제주특별자치도
2700,e006546,민오름,제주특별자치도
2701,e006550,미인폭포,강원
2702,e006550,민우당 서림,강원
2703,e006552,미인폭포,강원
2704,e006552,민우당 서림,강원
2705,e006554,힐링파크쑥섬쑥섬,전남
2706,e006555,미유 애월점,제주특별자치도
2707,e006555,민오름,제주특별자치도
2708,e006557,힐링파크쑥섬쑥섬,전남
2709,e006570,미유 애월점,제주특별자치도
2710,e006570,민오름,제주특별자치도
2711,e006572,미유 애월점,제주특별자치도
2712,e006572,민오름,제주특별자치도
2713,e006575,미유 애월점,제주특별자치도
2714,e006575,민오름,제주특별자치도
2715,e006577,미인폭포,강원
2716,e006577,민우당 서림,강원
2717,e006585,미인폭포,강원
2718,e006585,민우당 서림,강원
2719,e006587,밀양강,경남
2720,e006588,힐링파크쑥섬쑥섬,전남
2721,e006591,미인폭포,강원
2722,e006591,민우당 서림,강원
2723,e006592,미시령,강원특별자치도
2724,e006592,민우당 서림,강원특별자치도
2725,e006593,힐링파크쑥섬쑥섬,전남
2726,e006600,힐링파크쑥섬쑥섬,전남
2727,e006783,힐링파크쑥섬쑥섬,전남
2728,e006785,미유 애월점,제주특별자치도
2729,e006785,민오름,제주특별자치도
2730,e006788,힐링파크쑥섬쑥섬,전남
2731,e006789,미인폭포,강원
2732,e006789,민우당 서림,강원
2733,e006793,민락수변공원,부산
2734,e006793,민락 회 타운 시장,부산
2735,e006794,힐링파크쑥섬쑥섬,전남
2736,e006796,미인폭포,강원
2737,e006796,민우당 서림,강원
2738,e006801,미인폭포,강원
2739,e006801,민우당 서림,강원
2740,e006804,미유 애월점,제주특별자치도
2741,e006804,민오름,제주특별자치도
2742,e006813,힐링파크쑥섬쑥섬,전남
2743,e006815,미인폭포,강원
2744,e006815,민우당 서림,강원
2745,e006818,미인폭포,강원
2746,e006818,민우당 서림,강원
2747,e006820,힐링파크쑥섬쑥섬,전남
2748,e006823,미유 애월점,제주특별자치도
2749,e006823,민오름,제주특별자치도
2750,e006826,미유 애월점,제주특별자치도
2751,e006826,민오름,제주특별자치도
2752,e006828,힐링파크쑥섬쑥섬,전남
2753,e006830,힐링파크쑥섬쑥섬,전남
2754,e006831,힐링파크쑥섬쑥섬,전남
2755,e006833,힐링파크쑥섬쑥섬,전남
2756,e006834,힐링파크쑥섬쑥섬,전남
2757,e006837,힐링파크쑥섬쑥섬,전남
2758,e006844,미유 애월점,제주특별자치도
2759,e006844,민오름,제주특별자치도
2760,e006845,힐링파크쑥섬쑥섬,전남
2761,e006846,미유 애월점,제주특별자치도
2762,e006846,민오름,제주특별자치도
2763,e006849,미유 애월점,제주특별자치도
2764,e006849,민오름,제주특별자치도
2765,e006852,미유 애월점,제주특별자치도
2766,e006852,민오름,제주특별자치도
2767,e006853,힐링파크쑥섬쑥섬,전남
2768,e006854,밀리오레,서울
2769,e006855,힐링파크쑥섬쑥섬,전남
2770,e006856,미인폭포,강원
2771,e006856,민우당 서림,강원
2772,e006857,미인폭포,강원
2773,e006857,민우당 서림,강원
2774,e006861,힐링파크쑥섬쑥섬,전남
2775,e006862,미유 애월점,제주특별자치도
2776,e006862,민오름,제주특별자치도
2777,e006863,밀리오레,서울
2778,e006865,힐링파크쑥섬쑥섬,전남
2779,e006867,미유 애월점,제주특별자치도
2780,e006867,민오름,제주특별자치도
2781,e006871,미유 애월점,제주특별자치도
2782,e006871,민오름,제주특별자치도
2783,e006875,미유 애월점,제주특별자치도
2784,e006875,민오름,제주특별자치도
2785,e006876,미유 애월점,제주특별자치도
2786,e006876,민오름,제주특별자치도
2787,e006877,힐링파크쑥섬쑥섬,전남
2788,e006879,힐링파크쑥섬쑥섬,전남
2789,e006882,힐링파크쑥섬쑥섬,전남
2790,e006883,미인폭포,강원
2791,e006883,민우당 서림,강원
2792,e006886,밀양강,경남
2793,e006887,힐링파크쑥섬쑥섬,전남
2794,e006890,민락수변공원,부산
2795,e006890,민락 회 타운 시장,부산
2796,e006892,미유 애월점,제주특별자치도
2797,e006892,민오름,제주특별자치도
2798,e006893,힐링파크쑥섬쑥섬,전남
2799,e006894,힐링파크쑥섬쑥섬,전남
2800,e006895,미인폭포,강원
2801,e006895,민우당 서림,강원
2802,e006896,힐링파크쑥섬쑥섬,전남
2803,e006897,힐링파크쑥섬쑥섬,전남
2804,e006899,미인폭포,강원
2805,e006899,민우당 서림,강원
2806,e006902,밀리오레,서울
2807,e006906,힐링파크쑥섬쑥섬,전남
2808,e006906,미황사,전남
2809,e006908,미인폭포,강원
2810,e006908,민우당 서림,강원
2811,e006909,민락수변공원,부산
2812,e006909,민락 회 타운 시장,부산
2813,e006911,힐링파크쑥섬쑥섬,전남
2814,e006913,미유 애월점,제주특별자치도
2815,e006913,민오름,제주특별자치도
2816,e006914,미인폭포,강원
2817,e006914,민우당 서림,강원
2818,e006915,힐링파크쑥섬쑥섬,전남
2819,e006918,힐링파크쑥섬쑥섬,전남
2820,e006919,힐링파크쑥섬쑥섬,전남
2821,e006920,미인폭포,강원
2822,e006920,민우당 서림,강원
2823,e006922,미유 애월점,제주특별자치도
2824,e006922,민오름,제주특별자치도
2825,e006924,미유 애월점,제주특별자치도
2826,e006924,민오름,제주특별자치도
