TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
e000422,44,여,40,5,3,2,4,6,5,4,6,2,4,7,0
e000425,41,여,30,1,1,2,4,2,5,2,6,5,1,10,3
e000429,28,여,40,2,2,6,2,2,6,6,6,1,7,2,2
e000430,11,남,20,3,1,4,5,4,3,4,6,5,7,,0
e000432,41,여,20,4,3,2,2,5,4,5,5,3,1,2,1
e000433,41,여,20,2,4,1,4,3,4,2,4,7,1,2,1
e000435,11,여,40,1,7,4,4,4,4,1,1,8,7,3,3
e000437,41,여,20,6,3,2,5,2,2,6,6,3,1,5,1
e000438,48,남,40,6,5,4,3,2,5,5,4,8,1,3,3
e000443,11,여,40,3,2,1,3,6,2,6,5,6,3,7,5
e000445,11,남,30,6,2,1,2,1,2,6,6,2,1,3,1
e000447,11,여,30,1,7,1,1,1,1,7,1,1,7,2,3
e000448,41,남,30,3,3,3,4,3,3,6,2,2,8,5,2
e000450,41,여,20,1,7,1,7,1,7,1,7,1,6,2,0
e000451,11,남,40,6,5,6,6,6,6,2,6,7,,,2
e000453,47,남,30,4,3,2,3,7,1,2,7,8,3,7,2
e000454,11,여,30,4,4,4,3,6,4,2,6,2,3,6,3
e000460,41,여,40,4,2,3,1,3,4,4,7,1,3,2,2
e000463,11,남,40,1,1,1,5,3,1,1,6,7,2,4,1
e000466,11,여,30,5,3,2,3,2,2,1,3,2,1,3,3
e000469,11,여,20,5,6,6,6,6,5,5,3,3,9,1,20
e000472,29,남,20,4,1,2,2,6,2,3,6,7,6,4,0
e000473,27,남,30,2,4,7,2,1,4,7,2,3,1,9,2
e000474,47,남,30,4,1,4,2,2,4,6,4,2,6,7,0
