,userID,itemID,rating,SIDO
13222,g003098,청춘 창고,5.0,전남
13223,g003101,롯데마트 군산점,3.3333333333333335,전북
13224,g003101,은파호수공원,3.6666666666666665,전북
13225,g003104,궁남지,4.333333333333333,충남
13226,g003104,롯데 아웃렛 부여점,5.0,충남
13227,g003104,롯데리조트 부여 아쿠아 가든,5.0,충남
13228,g003108,보은전통시장,4.0,충북
13229,g003115,아라리오갤러리 천안,5.0,충남
13230,g003115,신세계백화점 천안아산점,5.0,충남
13231,g003118,예당호 출렁다리,2.6666666666666665,충남
13232,g003118,석남사,4.0,경기
13233,g003119,전주한옥마을,5.0,전북
13234,g003119,경기전,5.0,전북
13235,g003119,전동성당,4.333333333333333,전북
13236,g003119,전주 남부시장 한옥마을 야시장,4.666666666666667,전북
13237,g003119,전주영화의 거리,1.3333333333333333,전북
13238,g003120,한옥마을 도서관,5.0,전북
13239,g003120,전주한옥마을,5.0,전북
13240,g003120,경기전,4.333333333333333,전북
13241,g003120,전주 덕진공원,5.0,전북
13242,g003120,전주 덕진공원,5.0,전북
13243,g003121,탄금대,5.0,충북
13244,g003121,중앙탑공원 중원 탑평리 7층 석탑,5.0,충북
13245,g003121,충주고구려비전시관,5.0,충북
13246,g003130,국립세종수목원,3.6666666666666665,세종특별자치시
13247,g003135,예산 상설시장,5.0,충남
13248,g003135,윤봉길의사기념관,5.0,충남
13249,g003137,엑스포과학공원 한빛탑,4.0,대전
13250,g003137,한밭수목원,4.0,대전
13251,g003140,백련사,4.0,전남
13252,g003140,다산 박물관,4.0,전남
13253,g003140,영랑생가,4.0,전남
13254,g003140,세계 모란공원,4.0,전남
13255,g003140,가우도,4.0,전남
13256,g003140,강진만 생태공원,4.0,전남
13257,g003140,사의재,4.0,전남
13258,g003143,일제강점기 군산역사관,2.3333333333333335,전북
13259,g003143,신흥동 일본식 가옥,2.6666666666666665,전북
13260,g003143,초원 사진관,3.0,전북
13261,g003143,장항 스카이워크,4.0,충남
13262,g003143,은파호수공원,4.666666666666667,전북
13263,g003143,옥녀 교차로,3.0,전북
13264,g003143,경암동 철길마을,3.0,전북
13265,g003144,국립 5.18민주묘지,3.6666666666666665,광주
13266,g003144,광주호호수생태원,3.0,광주
13267,g003144,펭귄 마을,4.0,광주
13268,g003144,신세계백화점 광주신세계점,4.666666666666667,광주
13269,g003145,의림지,3.0,충북
13270,g003145,비룡다 저수지,2.0,충북
13271,g003150,단양 패러글라이딩 패러에 반하다,5.0,충북
13272,g003150,단양구경시장,5.0,충북
13273,g003151,엑스포과학공원 한빛탑,2.6666666666666665,대전
13274,g003153,군산근대역사박물관,2.3333333333333335,전북
13275,g003153,군산근대미술관,2.6666666666666665,전북
13276,g003153,초원 사진관,2.0,전북
13277,g003154,아산스파비스,4.666666666666667,충남
13278,g003159,탑전 호수변 생태공원,4.333333333333333,충남
13279,g003159,탑정호 출렁다리,3.0,충남
13280,g003162,세종 호수공원,3.6666666666666665,세종특별자치시
13281,g003162,이응 다리,4.0,세종특별자치시
13282,g003162,코스트코 세종점,4.0,세종특별자치시
13283,g003162,국립세종수목원,5.0,세종특별자치시
13284,g003165,프렐류드,4.0,대전
13285,g003165,NC백화점 중앙로역점,3.0,대전
13286,g003165,중앙시장 정원 상가,3.0,대전
13287,g003165,한밭수목원,5.0,대전
13288,g003165,롯데백화점 대전점,4.333333333333333,대전
13289,g003165,갤러리아백화점 타임월드점,3.3333333333333335,대전
13290,g003168,블랙스톤 벨포르 리조트,3.0,충북
13291,g003169,이마트 광주점,5.0,광주
13292,g003173,성심당 본점,3.0,대전
13293,g003173,우암사적공원,5.0,대전
13294,g003173,명상 정원,5.0,대전
13295,g003174,국립현대미술관 청주,5.0,충북
13296,g003177,공주 산성시장,3.3333333333333335,
13297,g003177,마곡사,4.0,
13298,g003179,국립부여박물관,5.0,충남
13299,g003179,백제문화 단지,5.0,충남
13300,g003179,유구 색동수국정원,4.0,충남
13301,g003179,미르 섬,2.0,충남
13302,g003182,신두리 해수욕장,5.0,충남
13303,g003189,낙안읍성 민속마을,5.0,전남
13304,g003189,순천만 국가정원,5.0,전남
13305,g003192,옥계폭포,4.0,충북
13306,g003193,단양구경시장,3.6666666666666665,충북
13307,g003193,패러 이야기,2.6666666666666665,
13308,g003193,구인사,3.0,충북
13309,g003193,도담삼봉 단양 유람선 선착장,3.6666666666666665,충북
13310,g003194,메타 프로방스,4.333333333333333,전남
13311,g003194,담양 메타세쿼이아 랜드 어린이 프로방스,4.333333333333333,전남
13312,g003195,산맥이 옛길,5.0,충북
13313,g003196,엑스포과학공원 한빛탑,4.0,대전
13314,g003196,천연기념물 센터,5.0,대전
13315,g003196,한밭수목원,5.0,대전
13316,g003199,NC 웨이브 충장점,5.0,광주
13317,g003199,국립아시아문화전당,5.0,광주
