place_id,여행지명,여행지설명,city,분류,activity_type,activity_ids,activity_level,season_preference,emotion_match
2308110010,경기전,경기전,경기도,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실외,2,5,Summer,1;11;12;13;2
2308110011,가봉 방과,가봉반과,광주광역시,식당/카페,실내,11,6,Summer,1;11;13;2;21
2308110013,료미,료미,경상북도,자연관광지,실외,1,6,Summer,2;21;22;24;26
2308110015,황박사경주쫀듸기,황박사경주쫀듸기,경상북도,상점,실내,10,1,Summer,21;24;28;3;4
2308110017,황리단쫀듸기,황리단쫀듸기,경상북도,상점,실내,10,1,Summer,21;24;28;3;4
2308120002,CGV 화성 봉담,국립중앙박물관,부산광역시,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308120003,EL16.52,2001아울렛 구로점,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308120004,K-water 소양강댐 물 문화관,K-water 소양강댐물문화관,부산광역시,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308120005,AK& 기흥,2001아울렛 구로점,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308120006,AK 푸드홀, 신세계백화점 센텀시티점,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308120007,국립중앙박물관,국립중앙박물관,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308120008,948키친 플러스 송천점,2001아울렛 구로점,제주특별자치도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308120009,금오름,2001아울렛 구로점,경상남도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308120010,bd 버거 성수,BHC치킨,대전광역시,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308130001,1971카페,1971카페,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308130002,롯데 프리미엄 아울렛 타임 빌라스,롯데프리미엄아울렛 타임빌라스,경상북도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308130003,대전중앙시장,대전중앙시장,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
